image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\488\e8\t_background\loc5\image049.png,488,e8,t_background,5,cellulartelephone,ppn18,cellulartelephone,1
D:\Yannick\taak_Noor\humanstim\humanstim\488\e9\w_background\loc3\image031.png,488,e9,w_background,3,cellulartelephone,ppn18,cellulartelephone,1
D:\Yannick\taak_Noor\humanstim\humanstim\496\e1\a_background\loc3\image089.png,496,e1,a_background,3,chinacabinet,ppn18,chinacabinet,1
D:\Yannick\taak_Noor\humanstim\humanstim\496\e2\t_background\loc1\image004.png,496,e2,t_background,1,chinacabinet,ppn18,chinacabinet,1
D:\Yannick\taak_Noor\humanstim\humanstim\496\e3\w_background\loc7\image004.png,496,e3,w_background,7,loudspeaker,ppn18,chinacabinet,0
D:\Yannick\taak_Noor\humanstim\humanstim\496\e4\a_background\loc4\image052.png,496,e4,a_background,4,pirateship,ppn18,chinacabinet,0
D:\Yannick\taak_Noor\humanstim\humanstim\496\e5\t_background\loc9\image006.png,496,e5,t_background,9,printer,ppn18,chinacabinet,0
D:\Yannick\taak_Noor\humanstim\humanstim\496\e6\w_background\loc6\image004.png,496,e6,w_background,6,chinacabinet,ppn18,chinacabinet,1
D:\Yannick\taak_Noor\humanstim\humanstim\496\e7\a_background\loc8\image060.png,496,e7,a_background,8,chinacabinet,ppn18,chinacabinet,1
D:\Yannick\taak_Noor\humanstim\humanstim\496\e8\t_background\loc5\image018.png,496,e8,t_background,5,chinacabinet,ppn18,chinacabinet,1
D:\Yannick\taak_Noor\humanstim\humanstim\496\e9\w_background\loc2\image004.png,496,e9,w_background,2,chinacabinet,ppn18,chinacabinet,1
D:\Yannick\taak_Noor\humanstim\humanstim\535\e1\a_background\loc7\image143.png,535,e1,a_background,7,dishwasher,ppn18,dishwasher,1
D:\Yannick\taak_Noor\humanstim\humanstim\535\e2\t_background\loc1\image034.png,535,e2,t_background,1,tablelamp,ppn18,dishwasher,0
D:\Yannick\taak_Noor\humanstim\humanstim\535\e3\w_background\loc4\image008.png,535,e3,w_background,4,chinacabinet,ppn18,dishwasher,0
D:\Yannick\taak_Noor\humanstim\humanstim\535\e4\a_background\loc2\image159.png,535,e4,a_background,2,dishwasher,ppn18,dishwasher,1
D:\Yannick\taak_Noor\humanstim\humanstim\535\e5\t_background\loc8\image008.png,535,e5,t_background,8,pirateship,ppn18,dishwasher,0
D:\Yannick\taak_Noor\humanstim\humanstim\535\e6\w_background\loc9\image008.png,535,e6,w_background,9,grandpiano,ppn18,dishwasher,0
D:\Yannick\taak_Noor\humanstim\humanstim\535\e7\a_background\loc5\image155.png,535,e7,a_background,5,bathtub,ppn18,dishwasher,0
D:\Yannick\taak_Noor\humanstim\humanstim\535\e8\t_background\loc3\image098.png,535,e8,t_background,3,pirateship,ppn18,dishwasher,0
D:\Yannick\taak_Noor\humanstim\humanstim\535\e9\w_background\loc6\image008.png,535,e9,w_background,6,dishwasher,ppn18,dishwasher,1
D:\Yannick\taak_Noor\humanstim\humanstim\580\e1\a_background\loc5\image150.png,580,e1,a_background,5,grandpiano,ppn18,grandpiano,1
D:\Yannick\taak_Noor\humanstim\humanstim\580\e2\t_background\loc3\image063.png,580,e2,t_background,3,birdhouse,ppn18,grandpiano,0
D:\Yannick\taak_Noor\humanstim\humanstim\580\e3\w_background\loc7\image065.png,580,e3,w_background,7,grandpiano,ppn18,grandpiano,1
D:\Yannick\taak_Noor\humanstim\humanstim\580\e4\a_background\loc1\image144.png,580,e4,a_background,1,pirateship,ppn18,grandpiano,0
D:\Yannick\taak_Noor\humanstim\humanstim\580\e5\t_background\loc9\image022.png,580,e5,t_background,9,grandpiano,ppn18,grandpiano,1
D:\Yannick\taak_Noor\humanstim\humanstim\580\e6\w_background\loc8\image065.png,580,e6,w_background,8,grandpiano,ppn18,grandpiano,1
