obj_code,exemplar,background,location_index,shuffle,clicked,participant,correct_answer,corr_count
743,e4,a_background,2,0.734459226,sportscar,ppn17,printer,0
743,e5,w_background,6,0.9240329513,printer,ppn17,printer,1
743,e9,t_background,3,0.9542045181,tablelamp,ppn17,printer,0
743,e1,a_background,4,0.9967564124,parkbench,ppn17,printer,0
762,e7,a_background,8,0.4110279006,limousine,ppn17,remote,0
762,e3,t_background,4,0.4275825468,cellulartelephone,ppn17,remote,0
762,e5,w_background,9,0.5332009823,remote,ppn17,remote,1
762,e4,a_background,3,0.5400806495,printer,ppn17,remote,0
762,e2,w_background,1,0.595359272,remote,ppn17,remote,1
762,e6,t_background,6,0.6605281865,tablelamp,ppn17,remote,0
762,e8,w_background,7,0.6642291652,remote,ppn17,remote,1
762,e9,t_background,5,0.7938291047,remote,ppn17,remote,1
762,e1,a_background,2,0.9464418032,sportscar,ppn17,remote,0
766,e8,w_background,8,0.1236759898,rockingchair,ppn17,rockingchair,1
766,e2,w_background,4,0.3169905,rockingchair,ppn17,rockingchair,1
766,e3,t_background,6,0.3280588783,rockingchair,ppn17,rockingchair,1
766,e1,a_background,7,0.3793729206,grandpiano,ppn17,rockingchair,0
766,e9,t_background,9,0.4917686243,printer,ppn17,rockingchair,0
766,e7,a_background,2,0.8545766452,rockingchair,ppn17,rockingchair,1
766,e4,a_background,5,0.940371941,parkbench,ppn17,rockingchair,0
766,e6,t_background,3,0.9539188882,tablelamp,ppn17,rockingchair,0
766,e5,w_background,1,0.9602516741,rockingchair,ppn17,rockingchair,1
780,e2,w_background,5,0.0324536412,schoolbus,ppn17,schoolbus,1
780,e6,t_background,9,0.0549467199,schoolbus,ppn17,schoolbus,1
780,e4,a_background,3,0.3175937907,schoolbus,ppn17,schoolbus,1
780,e8,w_background,2,0.3414547677,schoolbus,ppn17,schoolbus,1
780,e9,t_background,6,0.505138124,schoolbus,ppn17,schoolbus,1
780,e1,a_background,4,0.5138642204,schoolbus,ppn17,schoolbus,1
780,e5,w_background,1,0.6053439424,schoolbus,ppn17,schoolbus,1
780,e7,a_background,8,0.9058490871,schoolbus,ppn17,schoolbus,1
